sender_address,total_burned_dwl,win_type
0x678ae5e8eada89399a11037599fb81be05ede9d1,1000000,guaranteed
0x951e3c8437812460f35ea9d8a42343b07c729e60,1000000,guaranteed
0xec7f8e52191447219bdd25d013736614e9fefc4d,1000000,guaranteed
0x2ede679c0c4fcee934da3641f8736f565a6615d8,1000000,guaranteed
0x2573e5efe8d28d6bacdbbab396ebd8ecf0ac0dd6,1000000,guaranteed
0x6f1457921a5fab605375e9ddc7b1b5d1380410f6,1000000,guaranteed
0xefe320582dec3ac7cf2358b9ba0e27b203d06ec6,1000000,guaranteed
0xd51b3f28838143a03347682d7a8cbeccda03dd24,1000000,guaranteed
0x7f8769ce8488f1d3fa5337377e2106faab7850c1,1000000,guaranteed
0xa3c0b3e2504235ff20bdb4770fc74c06d04c6a26,1000000,guaranteed
0xfdc0502bb20c24fae65faf8470c3e18dee3ede5f,1000000,guaranteed
0xf4545ea90b5f8968fb7a5d07cc6773416d02427f,1000000,guaranteed
0x18b2a61d1a804fba6570ff186f05f5884194571b,1000000,guaranteed
0x512c579153ac6fd961a7d9e7b19281b855aafbe1,62212.211713351600006656,raffle
0x0e07ecb7ea74b53f41a3c82b9ff7323512866ce8,683963.495908773872,raffle
0xfa4dfbe7b012b1d92fdd5544f30518bb58bd41ce,717716.849419335339964958,raffle
0x8c8910e0623ba5bea1e79c409adbf57f21b377be,477007.887559699637501082,raffle
0xd64997ddc30869ea7ef865a421c80653ad761483,115000,raffle
